"Rank3"	"Site"	"Date"	"N"	"Rank3Abundance"	"sd"	"se"	"ci"	"ClassAbundance_zulkifly"
"D_2__Acidimicrobiia"	"North"	172	27	0.0390316117752482	0.00872073220185786	0.00167830569475776	0.00344980676261655	0.00082
"D_2__Acidimicrobiia"	"North"	199	27	0.00489514145854002	0.000960218762521251	0.000184794187007524	0.000379849891484043	0.00082
"D_2__Acidimicrobiia"	"Point"	199	27	0.00372393012037909	0.00103578973297304	0.000199337827051946	0.000409744771740376	0.00082
"D_2__Acidimicrobiia"	"South"	172	27	0.0303580726704232	0.0112515967617928	0.0021653708064114	0.0044509834381565	0.00082
"D_2__Acidimicrobiia"	"South"	199	27	0.00332820539074984	0.000414976308652512	7.98622278359483e-05	0.000164159160352396	0.00082
"D_2__Acidimicrobiia"	"North"	178	27	0.0230355274627322	0.00888853816082614	0.00171059996661841	0.00351618858912566	0.00082
"D_2__Acidimicrobiia"	"Point"	178	27	0.0109040442174784	0.000337124439329656	6.48796285991262e-05	0.00013336198655372	0.00082
"D_2__Acidimicrobiia"	"Point"	206	18	0.00957984448380525	0.000728472378944296	0.000171702586352869	0.000362260791441554	0.00082
"D_2__Acidimicrobiia"	"South"	206	18	0.00826367598374801	0.000434376663401486	0.000102383561426792	0.000216010432812301	0.00082
"D_2__Acidimicrobiia"	"South"	214	27	0.00356830729391259	0.000148985954154848	2.86723602455915e-05	5.8936880560187e-05	0.00082
"D_2__Acidimicrobiia"	"North"	214	27	0.00563353516274033	0.000814310305385279	0.000156714091339359	0.000322130428198221	0.00082
"D_2__Acidimicrobiia"	"Point"	185	27	0.0168886875721499	0.00122024711791305	0.000234836667334989	0.000482713682979852	0.00082
"D_2__Acidimicrobiia"	"South"	185	27	0.0157009004935758	0.00278823867898492	0.000536596783958957	0.00110299048610873	0.00082
"D_2__Acidimicrobiia"	"South"	178	27	0.0165386881167008	0.00368488187291938	0.000709155847087325	0.00145769072027372	0.00082
"D_2__Acidimicrobiia"	"Point"	172	27	0.0195046125983181	0.00185501287989759	0.000356997395186366	0.000733818655324399	0.00082
"D_2__Acidimicrobiia"	"Point"	214	27	0.00469621906738361	0.00063086422341173	0.000121409876402955	0.000249561575088268	0.00082
"D_2__Acidimicrobiia"	"North"	206	27	0.010045649519744	0.00305695270072585	0.000588310821554674	0.00120929021277781	0.00082
"D_2__Acidimicrobiia"	"North"	185	27	0.0361384529559082	0.00300834932593875	0.000578957097715723	0.00119006335806591	0.00082
"D_2__Actinobacteria"	"North"	172	114	0.00311597505305672	0.000157877393323917	1.47865726556683e-05	2.92948673284679e-05	0.000136939
"D_2__Actinobacteria"	"Point"	199	114	9.85162114943434e-05	3.6427955343193e-05	3.41179061193661e-06	6.75937255080414e-06	0.000136939
"D_2__Actinobacteria"	"South"	199	114	0.000291790878514189	9.41453585735821e-05	8.8175207066288e-06	1.74690988427051e-05	0.000136939
"D_2__Actinobacteria"	"Point"	178	114	0.000186158500614823	4.60969944467994e-05	4.31737909554325e-06	8.55350666823772e-06	0.000136939
"D_2__Actinobacteria"	"South"	206	76	0.000472571132913794	1.88630554134073e-05	2.16374085035395e-06	4.31039280869275e-06	0.000136939
"D_2__Actinobacteria"	"South"	178	114	0.00140509301167983	0.000334989691474358	3.13746592061013e-05	6.21588586024562e-05	0.000136939
"D_2__Actinobacteria"	"North"	214	114	0.000125261665793302	3.33956336496629e-05	3.12778766450544e-06	6.19671148933763e-06	0.000136939
"D_2__Actinobacteria"	"South"	172	114	0.00164765607853995	0.000350236725524399	3.28026747820984e-05	6.498801501456e-05	0.000136939
"D_2__Actinobacteria"	"South"	185	114	0.00329448415495106	0.00085315774365672	7.99055437749936e-05	0.000158307293935366	0.000136939
"D_2__Actinobacteria"	"South"	214	114	0.000231609778746916	3.80696094147594e-05	3.56554560303205e-06	7.0639889193244e-06	0.000136939
"D_2__Actinobacteria"	"North"	199	114	6.60524819545304e-05	1.19038756309277e-05	1.114900101876e-06	2.20881818454613e-06	0.000136939
"D_2__Actinobacteria"	"Point"	172	114	0.00106113462812474	0.000598963803238187	5.60980999763896e-05	0.000111140453873703	0.000136939
"D_2__Actinobacteria"	"Point"	206	76	0.000185107826826029	9.98525820229514e-06	1.14538766918329e-06	2.28172924294765e-06	0.000136939
"D_2__Actinobacteria"	"Point"	214	114	0.000134906238501283	3.83138664573709e-05	3.58842237108094e-06	7.10931192286974e-06	0.000136939
"D_2__Actinobacteria"	"North"	178	114	0.000468843532517264	0.000106065339130697	9.93392917304111e-06	1.96809053694454e-05	0.000136939
"D_2__Actinobacteria"	"North"	206	114	0.000192716457137758	8.96444789872232e-05	8.39597471060666e-06	1.66339401947961e-05	0.000136939
"D_2__Actinobacteria"	"Point"	185	114	0.000497817202589315	0.0001679329414387	1.57283610248666e-05	3.11607199482488e-05	0.000136939
"D_2__Actinobacteria"	"North"	185	114	0.00196215386106655	0.000756465465512474	7.08494821950524e-05	0.000140365602599537	0.000136939
"D_2__Alphaproteobacteria"	"Point"	172	336	0.103539118104692	0.00896717379280737	0.000489199436611476	0.000962289834021821	0.062375899
"D_2__Alphaproteobacteria"	"Point"	214	336	0.109116239197936	0.00166009895527336	9.0565822900682e-05	0.000178149368467818	0.062375899
"D_2__Alphaproteobacteria"	"Point"	199	336	0.107005141770097	0.0112755563970414	0.000615132032049828	0.0012100081413071	0.062375899
"D_2__Alphaproteobacteria"	"Point"	206	224	0.106626016916565	0.0101507258379336	0.00067822389843967	0.00133654800291313	0.062375899
"D_2__Alphaproteobacteria"	"Point"	178	336	0.114553783183806	0.00627054397506631	0.000342086219217746	0.000672907747793744	0.062375899
"D_2__Alphaproteobacteria"	"South"	185	336	0.0990035392772944	0.00527629957101179	0.000287845740159816	0.000566212895584883	0.062375899
"D_2__Alphaproteobacteria"	"North"	172	336	0.17388780004065	0.0267323781856227	0.00145837079216431	0.00286871832325644	0.062375899
"D_2__Alphaproteobacteria"	"North"	199	336	0.136335732311313	0.0158502511040202	0.000864702088907497	0.00170093006520359	0.062375899
"D_2__Alphaproteobacteria"	"North"	214	336	0.123293607093417	0.00718167984208707	0.000391792755872649	0.000770684015155709	0.062375899
"D_2__Alphaproteobacteria"	"South"	172	336	0.174688568452067	0.00570388831836451	0.000311172618743807	0.000612098512862614	0.062375899
"D_2__Alphaproteobacteria"	"South"	199	336	0.114729963968109	0.00786603829087722	0.00042912757008769	0.00084412423091532	0.062375899
