SampleID,TreatmentGroup,Site,Date,Description,SampleID
C172N1,Early,North,172,Sample of day 172 at site North 1,C172N1
C172N2,Early,North,172,Sample of day 172 at site North 2,C172N2
C172N3,Early,North,172,Sample of day 172 at site North 3,C172N3
C172P1,Early,Point,172,Sample of day 172 at site Point 1,C172P1
C172P2,Early,Point,172,Sample of day 172 at site Point 2,C172P2
C172P3,Early,Point,172,Sample of day 172 at site Point 3,C172P3
C172S1,Early,South,172,Sample of day 172 at site South 1,C172S1
C172S2,Early,South,172,Sample of day 172 at site South 2,C172S2
C172S3,Early,South,172,Sample of day 172 at site South 3,C172S3
C178N1,Early,North,178,Sample of day 178 at site North 1,C178N1
C178N2,Early,North,178,Sample of day 178 at site North 2,C178N2
C178N3,Early,North,178,Sample of day 178 at site North 3,C178N3
C178P1,Early,Point,178,Sample of day 178 at site Point 1,C178P1
C178P2,Early,Point,178,Sample of day 178 at site Point 2,C178P2
C178P3,Early,Point,178,Sample of day 178 at site Point 3,C178P3
C178S1,Early,South,178,Sample of day 178 at site South 1,C178S1
C178S2,Early,South,178,Sample of day 178 at site South 2,C178S2
C178S3,Early,South,178,Sample of day 178 at site South 3,C178S3
C185N1,Early,North,185,Sample of day 185 at site North 1,C185N1
C185N2,Early,North,185,Sample of day 185 at site North 2,C185N2
C185N3,Early,North,185,Sample of day 185 at site North 3,C185N3
C185P1,Early,Point,185,Sample of day 185 at site Point 1,C185P1
C185P2,Early,Point,185,Sample of day 185 at site Point 2,C185P2
C185P3,Early,Point,185,Sample of day 185 at site Point 3,C185P3
C185S1,Early,South,185,Sample of day 185 at site South 1,C185S1
C185S2,Early,South,185,Sample of day 185 at site South 2,C185S2
C185S3,Early,South,185,Sample of day 185 at site South 3,C185S3
C199N1,Late,North,199,Sample of day 199 at site North 1,C199N1
C199N2,Late,North,199,Sample of day 199 at site North 2,C199N2
C199N3,Late,North,199,Sample of day 199 at site North 3,C199N3
C199P1,Late,Point,199,Sample of day 199 at site Point 1,C199P1
C199P2,Late,Point,199,Sample of day 199 at site Point 2,C199P2
C199P3,Late,Point,199,Sample of day 199 at site Point 3,C199P3
C199S1,Late,South,199,Sample of day 199 at site South 1,C199S1
C199S2,Late,South,199,Sample of day 199 at site South 2,C199S2
C199S3,Late,South,199,Sample of day 199 at site South 3,C199S3
C206N1,Late,North,206,Sample of day 206 at site North 1,C206N1
C206N2,Late,North,206,Sample of day 206 at site North 2,C206N2
C206N3,Late,North,206,Sample of day 206 at site North 3,C206N3
C206P1,Late,Point,206,Sample of day 206 at site Point 1,C206P1
C206P2,Late,Point,206,Sample of day 206 at site Point 2,C206P2
C206S1,Late,South,206,Sample of day 206 at site South 1,C206S1
C206S2,Late,South,206,Sample of day 206 at site South 2,C206S2
C214N1,Late,North,214,Sample of day 214 at site North 1,C214N1
C214N2,Late,North,214,Sample of day 214 at site North 2,C214N2
C214N3,Late,North,214,Sample of day 214 at site North 3,C214N3
C214P1,Late,Point,214,Sample of day 214 at site Point 1,C214P1
C214P2,Late,Point,214,Sample of day 214 at site Point 2,C214P2
C214P3,Late,Point,214,Sample of day 214 at site Point 3,C214P3
C214S1,Late,South,214,Sample of day 214 at site South 1,C214S1
C214S2,Late,South,214,Sample of day 214 at site South 2,C214S2
C214S3,Late,South,214,Sample of day 214 at site South 3,C214S3
